D,string,u
D,1963-10-26 18:00:00,23.3
D,1963-10-27 18:00:00,24.4
D,1963-10-28 18:00:00,25.9
D,1963-10-29 18:00:00,26.6
D,1963-10-30 18:00:00,26.1
D,1963-10-31 18:00:00,24.6
D,1963-11-01 18:00:00,23.3
D,1963-11-02 18:00:00,23.2
D,1963-11-03 18:00:00,24.3
D,1963-11-04 18:00:00,25.6
D,1963-11-05 18:00:00,26.0
D,1963-11-06 18:00:00,26.1
D,1963-11-07 18:00:00,26.4
D,1963-11-08 18:00:00,27.2
D,1963-11-09 18:00:00,27.7
D,1963-11-10 18:00:00,28.2
D,1963-11-11 18:00:00,28.9
D,1963-11-12 18:00:00,29.5
D,1963-11-13 18:00:00,30.0
D,1963-11-14 18:00:00,29.9
D,1963-11-15 18:00:00,30.0
D,1963-11-16 18:00:00,30.1
D,1963-11-17 18:00:00,30.0
D,1963-11-18 18:00:00,30.4
D,1963-11-19 18:00:00,31.6
D,1963-11-20 18:00:00,33.2
D,1963-11-21 18:00:00,35.0
D,1963-11-22 18:00:00,36.4
D,1963-11-23 18:00:00,37.9
D,1963-11-24 18:00:00,39.2
D,1963-11-25 18:00:00,40.4
D,1963-11-26 18:00:00,41.3
D,1963-11-27 18:00:00,40.9
D,1963-11-28 18:00:00,40.0
D,1963-11-29 18:00:00,38.8
D,1963-11-30 18:00:00,38.1
D,1963-12-01 18:00:00,38.4
D,1963-12-02 18:00:00,40.2
D,1963-12-03 18:00:00,41.9
D,1963-12-04 18:00:00,41.7
D,1963-12-05 18:00:00,39.6
D,1963-12-06 18:00:00,38.1
D,1963-12-07 18:00:00,38.3
D,1963-12-08 18:00:00,40.0
D,1963-12-09 18:00:00,41.3
D,1963-12-10 18:00:00,42.4
D,1963-12-11 18:00:00,43.0
D,1963-12-12 18:00:00,43.1
D,1963-12-13 18:00:00,42.9
D,1963-12-14 18:00:00,42.9
D,1963-12-15 18:00:00,43.2
D,1963-12-16 18:00:00,42.4
D,1963-12-17 18:00:00,41.1
D,1963-12-18 18:00:00,41.5
D,1963-12-19 18:00:00,43.7
D,1963-12-20 18:00:00,46.9
D,1963-12-21 18:00:00,48.9
