,D_d,string,ar,latcent,kurtosis,area,form,D_msw,u,scaled_area,scaled_ar,scaled_latcent,scaled_u,ssa_scaled_u,eeof_scaled_u,y
548,D,1967-03-05 18:00:00,1.3763,81.785,0.15203,21586000.0,0,D,40.5,-0.4646076031825614,-0.4323988580386186,0.5418154291771458,0.9195665563360765,0.14279262163875595,0.09925898416469292,0
549,D,1967-03-06 18:00:00,1.5904,81.349,0.13387,21986000.0,0,D,38.5,-0.43587297941988284,0.05298436814527427,0.4591138633198088,0.7966783395570053,0.028228216899040648,-0.009473320246871864,0
550,D,1967-03-07 18:00:00,1.7121,80.74,0.12817,23112000.0,0,D,36.3,-0.35498501352794276,0.3288887989093085,0.3435972266062313,0.6615013011000268,-0.1003079066623015,-0.1303772146428671,0
551,D,1967-03-08 18:00:00,1.6641,79.71,0.12368,23386000.0,0,D,34.2,-0.33530179625050793,0.22006864544444685,0.14822426139279418,0.5324686734820023,-0.22446890165152233,-0.24547027719241132,0
552,D,1967-03-09 18:00:00,1.6481,78.559,0.14952,23517000.0,0,D,31.8,-0.3258912069682307,0.18379526095615964,-0.07010028517095841,0.3850028133471168,-0.36889829768384635,-0.37926964092894727,0
553,D,1967-03-10 18:00:00,1.6443,77.53,0.17469,22543000.0,0,D,29.6,-0.39586001583035296,0.17518033214019188,-0.2652835678938962,0.24982577489013846,-0.5029276490141219,-0.50071479571916,0
554,D,1967-03-11 18:00:00,1.8026,79.199,0.15661,18943000.0,0,D,27.9,-0.6544716296944599,0.534060129921183,0.051296508748070464,0.14537079062792777,-0.6081508399423492,-0.5911880091582749,0
555,D,1967-03-12 18:00:00,2.3138,83.044,0.08919,18505000.0,0,D,26.9,-0.685936042714593,1.692994764321959,0.7806256847147353,0.08392668223839214,-0.6722706275651584,-0.6384417934185502,0
556,D,1967-03-13 18:00:00,2.6253,86.925,0.06694,19621000.0,1,D,27.3,-0.6057664424167197,2.3991922185783006,1.5167834303393457,0.10850432559420652,-0.6522262812538737,-0.5993693077401702,0
557,D,1967-03-14 18:00:00,2.4758,87.085,0.15116,19246000.0,0,D,29.5,-0.632705152194231,2.0602627822658666,1.547132628819102,0.24368136405118482,-0.5233326337790701,-0.4491860092406216,0
558,D,1967-03-15 18:00:00,1.9032,85.232,0.22056,18571000.0,0,D,33.5,-0.681194829793751,0.7621290348912887,1.1956509739254153,0.4894577976093273,-0.2854151817438473,-0.18734957163066013,0
559,D,1967-03-16 18:00:00,1.4178,84.475,0.15994,18352000.0,0,D,36.9,-0.6969270363038175,-0.338314767022124,1.0520613286180631,0.6983677661337483,-0.08570046676096132,0.038473818388033876,0
560,D,1967-03-17 18:00:00,1.3903,84.307,0.17374,18998000.0,0,D,38.0,-0.6505206189270916,-0.40065964661136727,1.0201946702143196,0.7659562853622375,-0.028401823767264522,0.12342407041964776,0
561,D,1967-03-18 18:00:00,1.4947,86.162,0.21964,18384000.0,0,D,37.2,-0.6946282664028032,-0.16397581282529375,1.3720556900890053,0.7168009986506092,-0.08874249271271861,0.09147400368340863,0
562,D,1967-03-19 18:00:00,1.5535,87.832,0.1993,17462000.0,0,D,36.6,-0.7608615741757773,-0.03067112483083791,1.6888254492214685,0.6799345336168877,-0.1375248579725874,0.0713911000224855,0
563,D,1967-03-20 18:00:00,1.3251,86.894,0.16214,16806000.0,0,D,37.0,-0.8079863571465701,-0.5484736884011379,1.5109032731338943,0.7045121769727019,-0.1254109125369458,0.11239481208846958,0
564,D,1967-03-21 18:00:00,1.0312,86.119,0.15854,17293000.0,0,D,37.7,-0.773001952715509,-1.2147704197203633,1.3638993429975692,0.747523052845377,-0.09519375676595365,0.17141790872031726,0
565,D,1967-03-22 18:00:00,1.0625,86.001,0.15577,17905000.0,0,D,38.0,-0.7290379783586107,-1.1438106113151512,1.3415168091187493,0.7659562853622375,-0.08964984855091818,0.20519789178919334,0
566,D,1967-03-23 18:00:00,1.0828,85.503,0.15201,17562000.0,0,D,37.5,-0.7536779182351077,-1.0977887547456369,1.2470549288505042,0.7352342311674697,-0.133125132899529,0.18909428588351906,0
567,D,1967-03-24 18:00:00,1.0644,84.863,0.15434,18271000.0,0,D,36.4,-0.7027457976157598,-1.139503146907167,1.1256581349314754,0.6676457119389805,-0.21311325801269831,0.13529924959444684,0
568,D,1967-03-25 18:00:00,1.1152,84.498,0.1524,19033000.0,0,D,34.6,-0.6480063393478572,-1.0243351511568555,1.05642402589953,0.5570463168378166,-0.3355535194355419,0.03792166384513429,0
569,D,1967-03-26 18:00:00,1.1278,84.078,0.16129,18690000.0,0,D,33.5,-0.672646279224354,-0.9957698608723293,0.9767573798901672,0.4894577976093273,-0.41423511981656347,-0.01702742339347707,0
570,D,1967-03-27 18:00:00,1.0587,82.74,0.16734,18943000.0,0,D,33.3,-0.6544716296944599,-1.1524255401311194,0.7229622076031962,0.47716897593142,-0.43666134384582983,-0.01701638761966756,0
571,D,1967-03-28 18:00:00,1.029,82.881,0.15596,20054000.0,0,D,33.7,-0.5746612121936202,-1.2197580100875027,0.7497074387634832,0.5017466192872345,-0.42103388464313085,0.019580803329906638,0
572,D,1967-03-29 18:00:00,1.0725,83.627,0.15015,19940000.0,0,D,33.3,-0.5828505799659837,-1.1211397460099717,0.8912105766753502,0.47716897593142,-0.45312796129636185,0.006604751755918292,0
573,D,1967-03-30 18:00:00,1.0659,85.365,0.15266,19094000.0,0,D,32.3,-0.6436243092240488,-1.13610251711139,1.2208787451617127,0.41572486754188437,-0.5204298662521558,-0.04389687069996623,0
574,D,1967-03-31 18:00:00,1.1116,86.437,0.15458,18889000.0,0,D,31.1,-0.6583508039024215,-1.03249666266672,1.4242183749760864,0.3419919374744419,-0.5981557760335179,-0.10760643362739108,0
575,D,1967-12-01 18:00:00,1.246,78.047,0.1698,27568000.0,0,D,37.0,-0.0348813048117037,-0.7278002329651075,-0.1672177203061815,0.7045121769727019,-0.23756643724450266,0.2642404123988813,0
576,D,1967-12-02 18:00:00,1.3038,80.073,0.18467,25926000.0,0,D,39.5,-0.15283693535749915,-0.5967626315011699,0.2170790054437432,0.8581224479465409,-0.08346282921832937,0.42706003494007516,0
577,D,1967-12-03 18:00:00,1.3712,81.418,0.19044,26871000.0,0,D,41.9,-0.08495138671817107,-0.44396099934426037,0.4722019551642046,1.0055883080814263,0.06718648959380302,0.5846285977001404,0
578,D,1967-12-04 18:00:00,1.4871,82.261,0.19576,26296000.0,0,D,44.1,-0.12625740837702149,-0.18120567045722977,0.6321042946544232,1.140765346538405,0.20846129884068965,0.7307142932709314,0
579,D,1967-12-05 18:00:00,1.4667,82.211,0.1725,25225000.0,0,D,46.4,-0.2031943635015933,-0.2274542356797964,0.6226201701294997,1.2820867958343365,0.3590108312243141,0.8836196295121417,0
580,D,1967-12-06 18:00:00,1.3795,82.464,0.17299,25260000.0,0,D,48.2,-0.20068008392235892,-0.4251441811409614,0.6706098402256158,1.3926861909355008,0.4821665933644782,1.00596254448326,0
581,D,1967-12-07 18:00:00,1.3238,83.591,0.17812,26028000.0,0,D,49.6,-0.1455096062980161,-0.5514209008908109,0.8843820070174045,1.4787079426808507,0.5842348495363392,1.1040876240318325,0
582,D,1967-12-08 18:00:00,1.3411,84.764,0.18712,26174000.0,0,D,50.7,-0.13502146862463843,-0.5122003039128507,1.1068795683721249,1.54629646190934,0.6714881457005666,1.183927015566944,0
583,D,1967-12-09 18:00:00,1.3241,85.857,0.1944,24344000.0,0,D,51.4,-0.2664823723388928,-0.5507407749316556,1.314202530486967,1.5893073377820146,0.7378777445101787,1.2392348448876536,0
584,D,1967-12-10 18:00:00,1.3721,86.667,0.21421,24436000.0,0,D,51.6,-0.25987340887347676,-0.44192062146679395,1.467845347790738,1.601596159459922,0.7773146225788217,1.2638954952049017,0
585,D,1967-12-11 18:00:00,1.4921,87.655,0.25235,24958000.0,0,D,50.7,-0.22237472486318122,-0.16987023780464028,1.6552516484032387,1.54629646190934,0.7529443489464385,1.2210334264590288,0
586,D,1967-12-12 18:00:00,1.6016,87.12,0.24625,25277000.0,0,D,48.9,-0.1994588624124451,0.07837573728707502,1.553771515986551,1.4356970668081757,0.6770082370776844,1.1226829962807836,0
587,D,1967-12-13 18:00:00,1.6059,85.262,0.19627,25987000.0,0,D,46.8,-0.14845490523369068,0.08812420936830263,1.20134144864037,1.3066644391901507,0.5862731104158814,1.005421076607206,0
588,D,1967-12-14 18:00:00,1.5377,82.819,0.17161,27906000.0,0,D,44.3,-0.010600547732240322,-0.06649109201302159,0.7379471243525778,1.1530541682163118,0.47445779319383385,0.8632313873254023,0
589,D,1967-12-15 18:00:00,1.4399,80.433,0.18829,29111000.0,0,D,42.0,0.0759625063528288,-0.2882121546976773,0.28536470202319947,1.01173271892038,0.3782530960506869,0.7332031492664867,0
590,D,1967-12-16 18:00:00,1.309,78.374,0.21764,29781000.0,0,D,40.5,0.12409300115531538,-0.5849737815424769,-0.10519154591317809,0.9195665563360765,0.33432806313531127,0.6522909683218105,0
591,D,1967-12-17 18:00:00,1.1854,77.488,0.20317,29570000.0,0,D,40.5,0.10893548712050244,-0.8651856767144953,-0.2732502324948327,0.9195665563360765,0.3854916283653861,0.6631922137694816,0
592,D,1967-12-18 18:00:00,1.1812,77.156,0.17007,28424000.0,0,D,39.0,0.0266107900404284,-0.8747074401426707,-0.33622481934032766,0.8274003937517731,0.3472252158232527,0.581371405695314,0
593,D,1967-12-19 18:00:00,1.2189,76.714,0.15739,28379000.0,0,D,36.6,0.02337814486712706,-0.7892382779421437,-0.4200644801406583,0.6799345336168877,0.25615053335698323,0.4435881295162837,0
594,D,1967-12-20 18:00:00,1.3044,76.095,0.16075,29289000.0,0,D,33.5,0.08874941392722076,-0.5954023795828594,-0.5374779417592189,0.4894577976093273,0.12426907539052068,0.2624442607740467,0
595,D,1967-12-21 18:00:00,1.5104,76.907,0.15615,30495000.0,0,D,32.3,0.1753843045716966,-0.12838255429616183,-0.3834557594744516,0.41572486754188437,0.11101436232374301,0.19777296602614206,0
596,D,1967-12-22 18:00:00,1.7573,78.747,0.12686,30151000.0,0,D,31.1,0.15067252813579304,0.43136111008872013,-0.034439976957243254,0.3419919374744419,0.09935624753877623,0.13306310534084528,0
